"Title","Concept","Glossary term » Taxonomy term » Acronym (indexed field)","Definition","Deliverable(s)","Glossary term » Taxonomy term » Alternative labels (indexed field)","term_id","node_id"
"circular economy_ga1_nxs_tca","circular economy","","A regenerative system in which resource input and waste, emission, and energy leakage are minimized by slowing, closing, and narrowing material and energy loops. This can be achieved through long-lasting design, maintenance, repair, reuse, remanufacturing, refurbishing, and recycling.","Global assessment (1st work programme)",NA,24670,40856
"circular economy_ias","circular economy","","model of production and consumption, which involves sharing, leasing, reusing, repairing, refurbishing and recycling existing materials and products as long as possible. In this way, the life cycle of products is extended","Invasive alien species assessment",NA,24670,69560
"citizen science_ga1_sua","citizen science","","Citizen science refers to research collaborations in which volunteers and scientists partner to answer real-world questions, typically through a connected interface. A major setback of citizen science projects is that they require some level of computer l.","Global assessment (1st work programme), Sustainable use assessment",NA,24671,40857
"citizen science_ias","citizen science","","diverse range of approaches in which scientific research is conducted, in whole or in part, by volunteers with varying levels of expertise (also known as community science, participatory monitoring, community-based environmental monitoring, crowd science, crowd-sourced science, civic science, or volunteer monitoring). Citizen science often contributes to surveillance of invasive alien species","Invasive alien species assessment",NA,24671,69561
"citizens_eca","citizens","","Actors living in the area / context of interest that are directly or indirectly impacted by decisions / recommendations and hold their own (subjective) interest.","Europe and Central Asia assessment",NA,24672,40858
"civil society_ldr","civil society","","Civil society, according to Gramsci, is broader than the institutionally recognized organizations, unions, associations and other pressure groups. It considers citizens as historical subjects capable of both understanding and changing the world around them, instead of being passive recipients of a readymade ideology. The Internet and other new information and communication technologies facilitate the rise of self-organized, leaderless movements, allowing a rapid and efficient mobilization of citizens.","Land degradation and restoration assessment",NA,24673,40859
"clade_ga1","clade","","A group of organisms believed to comprise all the evolutionary descendants of a common ancestor.","Global assessment (1st work programme)",NA,24674,40860
"classical biological control_ias","classical biological control","","the intentional introduction of an alien species, usually co-evolved, as a biological control agent for permanent establishment and long-term control","Invasive alien species assessment",NA,28639,69562
"clean development mechanism_ldr","clean development mechanism","CDM","Defined in Article 12 of the Protocol, allows a country with an emission-reduction or emission-limitation commitment under the Kyoto Protocol (Annex B Party) to implement an emission-reduction project in developing countries. Such projects can earn saleable certified emission reduction (CER) credits, each equivalent to one tone of CO2, which can be counted towards meeting Kyoto targets.","Land degradation and restoration assessment",NA,24675,40861
"clean technology_tca","clean technology","","A procedural approach or method that promotes sustainable development for companies, emphasising that all production phases be addressed such that environmental risks are minimized and underlain by the philosophies of eco-efficiency and eco-friendliness to enhance competitiveness, social responsibility and organizational sustainability (Brahmana & Kontesa, 2021).","Transformative change assessment",NA,33952,87959
"climate_nxs","climate","","The average weather, or more rigorously, its statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years. The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization. The relevant quantities are most often surface variables such as temperature, precipitation and wind. Climate in a wider sense is the state, including a statistical description, of the climate system.","Nexus assessment",NA,24676,88335
"climate action_nxs","climate action","","Refers to any actions taken for climate change adaptation and/or mitigation. (Source: this assessment, Chapter 1).","Nexus assessment",NA,33953,87960
"climate change_sua","climate change","","As defined in Article 1 of the United Nations Framework Convention on Climate Change, a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","Sustainable use assessment",NA,21590,16877
"climate change_apa","climate change","","Climate change is a change in the statistical distribution of weather patterns when that change lasts for an extended period of time (i.e. decades to millions of years). Climate change may refer to a change in average weather conditions, or in the time variation of weather within the context of longer- term average conditions. Climate change is caused by factors such as biotic processes, variations in solar radiation received by Earth, plate tectonics, and volcanic eruptions. Certain human activities have been identified as primary causes of ongoing climate change, often referred to as global warming.","Asia-Pacific assessment",NA,21590,40863
"climate change_ldr","climate change","","Refers to a change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is in addition to natural climate variability observed over comparable time periods.","Land degradation and restoration assessment",NA,21590,40864
"climate change_ama_ga1_eca_afa_tca","climate change","","As defined in Article 1 of the UNFCCC, a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","Americas assessment, Global assessment (1st work programme), Europe and Central Asia assessment, Africa assessment",NA,21590,40865
"climate change_nxs","climate change","","A change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and/or the variability of its properties and that persists for an extended period, typically decades or longer. Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use (IPCC, 2022c). See also Climate variability. The Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: ""a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods"". The UNFCCC thus makes a distinction between climate change attributable to human activities altering the atmospheric composition and climate variability attributable to natural causes. In the scope of this assessment, the nexus element of climate change is defined as alterations of global climate resulting directly or indirectly from human activities that alter the atmospheric composition, beyond what is observed from natural climate variability over comparable time periods (UNFCCC, 1992). This assessment also considers climate action, including adaptation and mitigation strategies (IPCC, 2018, 2022a), and examines related aspects of the energy system and of land use change that are relevant to such action. See also Climate action, Energy system, and Land use and land use/cover change.","Nexus assessment",NA,21590,88333
"climate change adaptation_ldr","climate change adaptation","","Adjustment in natural or human systems in response to actual or expected climatic stimuli or their effects, which moderates harm or exploits beneficial opportunities.","Land degradation and restoration assessment",NA,24677,40867
"climate change adaptation_nxs","climate change adaptation","","The process of adjustment to actual or expected climate and its effects. In human systems, adaptation seeks to moderate or avoid harm or exploit beneficial opportunities. In some natural systems, human intervention may facilitate adjustment to expected climate and its effects (IPCC, 2022a).","Nexus assessment",NA,24677,87961
"climate change impacts_nxs","climate change impacts","","The consequences of climate change affecting an element of society or ecosystems. Depending on system tolerance, these impacts can be detrimental, beneficial, neutral or a mixture of each across interacting system elements and regions (IPCC, 2022b).","Nexus assessment",NA,33954,87962
"climate change mitigation_ldr","climate change mitigation","","A set of actions to limit the magnitude or rate of long-term climate change. Climate change mitigation generally involves reductions in human (anthropogenic) emissions of greenhouse gases (GHGs). Mitigation may also be achieved by increasing the capacity of carbon sinks, e.g. through reforestation. Mitigation policies can substantially reduce the risks associated with human-induced global warming.","Land degradation and restoration assessment",NA,24678,40868
"climate change mitigation_nxs","climate change mitigation","","A human intervention to reduce emissions or enhance the sinks of greenhouse gases.","Nexus assessment",NA,24678,87963
"climate envelope_ldr","climate envelope","","A subset of the more general family of species distribution models that correlate species occurrence or abundance with climate variables to make spatially-explicit predictions of potential distribution.","Land degradation and restoration assessment",NA,24679,40869
"climate regulation_ldr","climate regulation","","The influence of land cover and biological mediated processes that regulate atmospheric processes and weather patterns which in turn create the microclimate in which different plants and animals (including humans) live and function.","Land degradation and restoration assessment",NA,24680,40870
"climate smart agriculture_ldr","climate smart agriculture","CSA","Aims to tackle three main objectives: sustainably increasing agricultural productivity and incomes; adapting and building resilience to climate change; and reducing and/or removing greenhouse gas emissions, where possible.","Land degradation and restoration assessment",NA,24681,40871
"climate smart agriculture_apa","climate smart agriculture","CSA","Agriculture that sustainably increases productivity, resilience (adaptation), reduces/ removes GHGs (mitigation), and enhances achievement of national food security and development goals.","Asia-Pacific assessment",NA,24681,40872
"climate variability_afa","climate variability","","Is defined as variations in the mean state and other statistics of the climate on all temporal and spatial scale, beyond individual weather events.","Africa assessment",NA,24682,40873
"climate variability_nxs","climate variability","","Refers to variations in the mean state of climate, and other climate statistics (standard deviations, the occurrence of extremes, etc.), on all temporal and spatial scales beyond those of individual weather events. It may result from natural internal processes within the climate system (internal variability) or from variations in natural or anthropogenic external forces (external variability).","Nexus assessment",NA,24682,88334
"climatological anomalies_nxs","climatological anomalies","","Variation in a climate variable relative to a baseline value, i.e., climatological normal (see also Climatological normal). For example, a positive anomaly of temperature means that the observed temperature was warmer than the baseline. A negative temperature anomaly indicates that the observed temperature was cooler than the long-term average. Similarly, positive and negative anomalies for precipitation indicate that it rained more or less, respectively, than the baseline (Copernicus Climate Change Service, n.d.).","Nexus assessment",NA,33955,87966
"climatological normal_nxs","climatological normal","","The long-term average of a climatic variable. The normal is typically computed by calculating a climatology over a period of at least 30 years (the climate normal period). The current climate normal period is January 1981 to December 2010. (Copernicus Climate Change Service, n.d.).","Nexus assessment",NA,33956,87967
"closed water systems_ias","closed water systems","","in the context of management of biological invasions, bodies of water that do not directly or indirectly drain with continuous and intensive flow into an ocean or river, recognizing that no natural systems may be entirely closed (e.g., some inland surface waters and water bodies/freshwater).","Invasive alien species assessment",NA,28640,69563
"co-benefit_afa","co-benefit","","Refers to benefits of development plans or sectoral policies and measures.","Africa assessment",NA,24685,40876
"co-benefit_nxs","co-benefit","","Refers to positive effects of a measure or policy that is co-delivered with the main objective focusing on another nexus element. Opposed to synergies, co-benefits can arise for nexus elements that were not necessarily the target of a given response option or measure. Co-benefits depend on implementation and specific characteristics of a location (IPCC, 2022a). See also Synergies.","Nexus assessment",NA,24685,87968
"co-benefit strategies_apa","co-benefit strategies","","Practices in response to problems that provide added benefits, above and beyond the direct benefits. They are referred to as multiple benefits or synergies”.","Asia-Pacific assessment",NA,24686,40877
"co-creation_tca","co-creation","","A collaborative process of creation of knowledge between academic and non-academic actors encompassing the co-design of the problem framing, the co-production of knowledge, the co-implementation and dissemination of results (Hakkarainen et al., 2022; Mauser et al., 2013). Often used interchangeably with co-production of knowledge. Same collaborative multi-actor approaches can be extrapolated to co-creating action and change.","Transformative change assessment",NA,33957,87969
"co-management_apa_ama_eca_ldr_sua","co-management","","Process of management in which government shares power with resource users, with each given specific rights and responsibilities relating to information and decision-making.","Asia-Pacific assessment, Americas assessment, Europe and Central Asia assessment, Land degradation and restoration assessment, Sustainable use assessment",NA,21591,16878
"co-production_ga1_sua","co-production","","In the context of the IPBES conceptual framework, this is the joint contribution by nature and anthropogenic assets in generating nature's contributions to people.","Global assessment (1st work programme)",NA,21595,16282
"co-production_apa_ppa","co-production","","Essentially a relationship between service provider and service user that draws on the knowledge, ability and resources of both to develop solutions to issues that are claimed to be successful, sustainable and cost-effective, changing the balance of power from the professional towards the service user. The approach is used in work with both individuals and communities.","Asia-Pacific assessment",NA,21595,40919
"co-production_ama_eca","co-production","","In the context of the IPBES conceptual framework, this is the joint contribution by nature and anthropogenic assets in generating nature's contributions to people.","Americas assessment, Europe and Central Asia assessment",NA,21595,40920
"co-production_nxs","co-production","","Philosophically, refers to the idea that knowledge (e.g., science) and action (e.g., governance or authority) are interdependent. More specifically, co-production in the context of assessments refers to scientists, decision-makers and others working cooperatively to produce knowledge. Can also refer to ""a means to integrate science with other ways of knowing and to define new ways of knowing that depart from traditional scientific research"" (Miller & Wyborn, 2020).","Nexus assessment",NA,21595,88336
"co-production_tca","co-production","","In the context of the IPBES conceptual framework, this is the joint contribution by nature and anthropogenic assets in generating nature's contributions to people (IPBES, 2021). In terms of transformative change, it recognizes the importance of Indigenous and local knowledge systems, or 'Walking on Two Legs', which means including traditional ways of knowing in educational systems, but also allowing innovation and new ways of knowing. Traditional ways of knowing can be included including value-based practices like ceremonies, festivals, rituals, stories, songs and production practices like hunting, cultivation, gathering.","Transformative change assessment",NA,21595,88337
"coastal squeeze_apa","coastal squeeze","","It refers to intertidal habitat loss which arises due to the high water mark being fixed by a defense, and the low water mark migrating landwards in response to sea level rise.","Asia-Pacific assessment",NA,24684,40875
"cold seep_apa","cold seep","","Area of the seafloor where gases and fluids are released without incurring a significant temperature rise in the surrounding environment.","Asia-Pacific assessment",NA,24687,40878
"collaborative governance_apa","collaborative governance","","Governing arrangement where one or more public agencies directly engage non-state stakeholders in a collective decision-making process that is formal, consensus-oriented, and deliberative and that aims to make or implement public policy or manage public programs or assets.","Asia-Pacific assessment",NA,24688,40879
"collapse (socioecological system)_sua_ga1","collapse (socioecological system)","","The rapid and durable loss of a defined socio-ecological system as such, resulting in substantial loss of social-ecological capital (e.g. biomass).","Sustainable use assessment, Global assessment (1st work programme)",NA,24689,40880
"collecting_sua","collecting","","See “Gathering”.","Sustainable use assessment",NA,24690,40881
"collective action_ias","collective action","","action taken together by a group of people whose goal is to achieve a common objective. It is a term that is used in many areas of the social sciences including psychology, sociology, anthropology, political science and economics","Invasive alien species assessment",NA,28641,69564
"colonialism_tca","colonialism","","The combination of territorial, juridical, cultural, linguistic, political, mental/epistemic and/or economic domination of one group of people or groups of people by another (external) group of people (Murrey, 2020).","Transformative change assessment",NA,33958,87972
"coloniality_tca","coloniality","","Enduring ways of thinking and pervasive structures and patterns of power, inequality and domination established in different eras of colonialism. These have continued to shape modern societies in cultural, political and knowledge aspects beyond the end of formal colonial rule, becoming a pervasive force. This includes recognition that the legacies of historic injustices, such as the displacement of Indigenous Peoples and local communities and the disruption of their land management practices, are still present and contribute to today's biodiversity challenges (Deringil, 2003; Quijano, 2007).","Transformative change assessment",NA,33959,88338
"colonization pressure_ias","colonization pressure","","the number of species introduced or released to a single location, some of which will go on to establish a self-sustaining population and some of which will not","Invasive alien species assessment",NA,28642,69565
"comminution_ldr","comminution","","The action of reducing a material, especially a mineral ore, to minute particles or fragments.","Land degradation and restoration assessment",NA,24691,40882
"common pool resource_ldr","common pool resource","CPR","Resources for which the exclusion of users is difficult (referred to as excludability), and the use of such a resource by one user decreases resource benefits for other users (referred to as subtractability). Common CPR examples include fisheries, forests, irrigation systems, and pastures. Global CPR examples include the earth’s oceans and atmosphere. Difficulty in excluding users, combined with a CPR’s subtractability, create management vulnerabilities that can result in resource degradation, often referred to as the tragedy of the commons. See also Tragedy of commons” and Commons”.","Land degradation and restoration assessment",NA,24692,40883
"common property theory_sua","common property theory","CPT","Common property theory (CPT) refers to a body of cross-disciplinary literature that deals with the historical and contemporary institutional governance and management of valued resources ranging from fisheries and forests to atmospheric sinks, oceans, and genetic materials. CPT was originally developed to understand the problems of managing what are termed common-pool resources.","Sustainable use assessment",NA,24693,40884
"commons_ldr","commons","","A concept whereby some forms of wealth belong to all, and that these community resources must be actively protected and managed for the good of all. It consists of land and services of common property (forests, rivers, fields and arable land) used and managed by a given community (mainly traditional, local or indigenous). The commons also consist of gifts of nature such as air, oceans and wildlife (global commons) as well as shared social creations such as libraries, public spaces, scientific research and creative works. See also Common Pool Resources” and Tragedy of the commons”.","Land degradation and restoration assessment",NA,24694,40885
"communication_va","communication","","“A two-way process aimed at mutual understanding, sharing of values and action”.","Values assessment",NA,24695,40886
"community (ecological)_ga1_sua","community (ecological)","","An assemblage of populations of at least two different species which coexist, and to various degrees interact directly and indirectly within a defined local geographic area and in a particular time; it is characterized in terms of taxonomic and functional.","Global assessment (1st work programme), Sustainable use assessment",NA,24696,40887
"community (social)_sua","community (social)","","A group of people who inhabit or perform ongoing activities in a shared geographic space, who interact with one another, share similar values, identity, and heritage that form a basis for communal rules regulating collective behavior.","Sustainable use assessment",NA,24697,40888
"community forestry_sua_ga1","community forestry","","A broad term used to describe models of forest management that give local people the majority say in making decisions. Similar terms include participatory forest management, collaborative forest management, social forestry, and community-based forest management. With an aim to reduce poverty, community forestry is participatory and should serve all community members equitably.","Sustainable use assessment, Global assessment (1st work programme)",NA,24698,40889
"community-based conservation_ga1","community-based conservation","","Institutions and/or processes involving Indigenous Peoples and Local Communities in the protection of biodiversity aimed at promoting the coexistence of people and nature. This includes -but is not restricted to- Indigenous Peoples’ and community conserved territories and areas (see 'ICCAs').","Global assessment (1st work programme)",NA,24699,40890
"community-based forest management_apa","community-based forest management","","See Community Based Natural Resource Management.","Asia-Pacific assessment",NA,24700,40891
"community-based monitoring_ga1","community-based monitoring","","Processes involving the participation of community members in a range of observation and measurement activities to maintain awareness of ecological and social factors affecting a community .","Global assessment (1st work programme)",NA,24701,40892
"community-based monitoring and information systems_eca","community-based monitoring and information systems","CBMIS","Initiatives by indigenous peoples and local community organizations to monitor their community’s well-being and the state of their territories and natural resources, applying a mix of traditional knowledge and innovative tools and approaches. It is a system that promotes evidence-based policymaking while empowering communities to participate in the process.","Europe and Central Asia assessment",NA,24702,40893
"community-based natural resource management_afa","community-based natural resource management","CBNRM","Community-based natural resource management: an approach to natural resource management that involves the full participation of indigenous peoples' and local communities and resource users in decision-making activities, and the incorporation of local institutions, customary practices, and knowledge systems in management, regulatory, and enforcement processes. Under this approach, community-based monitoring and information systems are initiatives by indigenous peoples and local community organisations to monitor their community's well-being and the state of their territories and natural resources, applying a mix of traditional knowledge and innovative tools and approaches.","Africa assessment",NA,21592,16280
"community-based natural resource management_ldr","community-based natural resource management","CBNRM","An approach to natural resource management that involves the full participation of indigenous peoples’ and local communities and resource users in decision-making activities, and the incorporation of local institutions, customary practices, and knowledge systems in management, regulatory, and enforcement processes. Under this approach, community-based monitoring and information systems are initiatives by indigenous peoples and local community organisations to monitor their community’s well-being and the state of their territories and natural resources, applying a mix of traditional knowledge and innovative tools and approaches.","Land degradation and restoration assessment",NA,21592,40894
"community-based natural resource management_apa_eca_ga1","community-based natural resource management","CBNRM","an approach to natural resource management that involves the full participation of indigenous peoples' and local communities and resource users in decision- making activities, and the incorporation of local institutions, customary practices, and knowledge systems in management, regulatory, and enforcement processes. Under this approach, community-based monitoring and information systems are initiatives by indigenous peoples and local community organizations to monitor their community's well-being and the state of their territories and natural resources, applying a mix of traditional knowledge and innovative tools and approaches.","Asia-Pacific assessment, Europe and Central Asia assessment, Global assessment (1st work programme)",NA,21592,40895
"community-based natural resource management_ga1","community-based natural resource management","CBNRM","Community-based natural resource management: an approach to natural resource management that involves the full participation of indigenous peoples? and local communities and resource users in decision-making activities, and the incorporation of local inst.","Global assessment (1st work programme)",NA,21592,40896
"community-based tourism_sua","community-based tourism","","Community-based tourism is defined as an approach to tourism development which prioritizes the needs and desires of the host community.","Sustainable use assessment",NA,24703,40897
"community-managed forest_ga1_sua","community-managed forest","","Decentralized system of forest resource management designed to promote more equitable outcomes for stakeholders’ livelihoods changing relationships between stakeholders and government agencies.","Global assessment (1st work programme)",NA,24704,40899
"compensation_ama","compensation","","A given project attains zero net biodiversity loss when its unavoidable impacts on biodiversity are balanced out or compensated by actions such as conservation, rehabilitation, restoration and/or compensation of residual impacts that avoid or minimize losses. In this case, compensation refers to environmental compensation and not socioeconomic compensation to the people who are affected by the project’s impact.","Americas assessment",NA,24705,40900
"compounding impact_nxs","compounding impact","","In the scope of this assessment, defined as when changes in one or several nexus elements (i.e., biodiversity, water, food, health and/or climate change) exacerbate negative impacts on another nexus element (Source: this assessment, Chapter 1). Changes in a response variable result from the combined effects of multiple variables or drivers, which may be non-linear and not follow additive patterns (Pidgen & Mallik, 2013; Zuo & Gao, 2021). At the global scale, drivers such as climate change, land and sea-use changes, overexploitation of resources, pollution and invasive alien species can compound each other's effects, potentially exacerbating the negative impacts on nature in different ecosystems (IPBES, 2019a).","Nexus assessment",NA,33960,88339
"concepts_ldr","concepts","","The second stage of cognitive process. Perceptions are selected, organized, classified and hierarchized into concepts. This process is influenced by collective filters which are human systems of values, norms, and beliefs. Concepts do not come alone, but as integrated networks. See also ‘Reality’; Perceptions; Worldviews”.","Land degradation and restoration assessment",NA,24706,40901
"conceptual framework_apa_ldr","conceptual framework","","The Platform's conceptual framework is a tool for building shared understanding across disciplines, knowledge systems and stakeholders of the interplay between biodiversity and ecosystem drivers, and of the role they play in building a good quality of life.","Asia-Pacific assessment, Land degradation and restoration assessment",NA,24707,40902
"confidence_eca_ldr","confidence","","See certainty.","Europe and Central Asia assessment, Land degradation and restoration assessment",NA,24708,40903
"conflict_sua","conflict","","Conflict is defined as when levels of armed violence due to political insecurity, instability, or civil or international war are substantially higher than in non-conflict times. This leads to a disruption of economies, government services and the extensive movement of people to flee conflict zones for personal safety and/or better opportunities.","Sustainable use assessment",NA,24709,40904
"conflict_va","conflict","","Refers to a situation where opposing attitudes, beliefs, identities, interests, norms or values coexist. This can lead to an active disagreement between people. Conflicts are likely to arise when individuals or groups in a given decision-making process feel their values are being ignored; or when they cannot agree on the underlying value rationality, or the way in which values will be integrated, traded-off or reconciled to inform a given decision. When different values collide in a decision-making situation, the conflict can be described as a value conflict.","Values assessment",NA,24709,40905
"connectance (in plant-pollinator networks (q.v.))_ppa","connectance (in plant-pollinator networks (q.v.))","","The proportion of possible links between species that actually occur (or have been observed to occur).","Pollination assessment",NA,24710,40906
"connected water systems_ias","connected water systems","","in the context of management of biological invasions, bodies of water that are directly or indirectly connected to an ocean or a main river (e.g., cryosphere, shelf ecosystems and coastal areas).","Invasive alien species assessment",NA,28643,69566
"conservation agriculture_ppa_eca","conservation agriculture","","Approach to managing agro-ecosystems for improved and sustained productivity, increased profits and food security while preserving and enhancing the resource base and the environment. It is characterized by three linked principles, namely: 1) continuous minimum mechanical soil disturbance; 2) permanent organic soil cover; and 3) diversification of crop species grown in sequences and/or associations. This covers a wide range of approaches from minimum till to permaculture/mimicking nature.","Pollination assessment, Europe and Central Asia assessment",NA,21593,16879
"conservation agriculture_ga1_ldr","conservation agriculture","","Approach to managing agro-ecosystems for improved and sustained productivity, increased profits and food security while preserving and enhancing the resource base and the environment. It is characterized by three linked principles, namely: (i) continuous minimum mechanical soil disturbance; (ii) permanent organic soil cover; and (iii) diversification of crop species grown in sequences and/or associations. This covers a wide range of approaches from minimum till to permaculture/mimicking nature.","Global assessment (1st work programme), Land degradation and restoration assessment",NA,21593,40907
"conservation benefit_ga1_sua","conservation benefit","","The positive impacts on people and ecosystems due to conservation.","Global assessment (1st work programme), Sustainable use assessment",NA,24711,40908
"conservation biology_ga1_sua","conservation biology","","The branch of biological science concerned with the conservation, management, and protection of vulnerable species, populations, and ecosystems. Also see 'Biological conservation'.","Global assessment (1st work programme), Sustainable use assessment",NA,24712,40909
"conservation easement_ama","conservation easement","","Voluntary, typically permanent, partial interest in property created through agreement between a landowner and a nonprofit land trust or government agency in which a landowner agrees to land-use restrictions, usually in exchange for a payment, tax reduction, or permit.","Americas assessment",NA,24713,40910
"conservation tender_ldr","conservation tender","","A financial mechanism to deliver funding to community groups and individuals for conservation works and, sometimes, permanently protect biodiversity (Australian Government, Department of the Environment and Energy).","Land degradation and restoration assessment",NA,24714,40911
"consumer surplus_ppa","consumer surplus","","The difference between the total amount that consumers are willing and able to pay for a good or service (indicated by the demand curve) and the total amount that they actually do pay (i.e. the market price), or the difference between the consumers' willingness to pay for a commodity and the actual price (equilibrium price) they pay.","Pollination assessment",NA,21594,16281
"consumerism_tca","consumerism","","The relentless economic pursuit of consumption, based on liberal economic theory that increasing consumption is economically beneficial. It describes the effect of the market economy, advertising and mass media on individuals, creating a 'consumer culture' and 'mass consumption' (Wong & Bridges, 2008).","Transformative change assessment",NA,33961,88340
"containment_ias","containment","","the application of measures in and around an infested area to prevent spread of invasive alien species. Containment may also apply in the context of keeping an invasive alien species out of a defined geographic region within a broader infestation (in pest management this is also termed area-wide management) (FAO, 2019). Any action taken to delimit the distribution of an invasive alien species through whatever means possible.","Invasive alien species assessment",NA,28644,69567
"contaminant_ldr","contaminant","","Substance or agent present in the soil as a result of human.","Land degradation and restoration assessment",NA,24715,40912
"continental shelf_ga1","continental shelf","","The gently sloping, shelf-like part of the seabed adjacent to the coast extending to a depth of about 200m.","Global assessment (1st work programme)",NA,24716,40913
"continental slope_ga1","continental slope","","The often steep, slope-like part of the seabed extending from the edge of the continental shelf to a depth of about 2,000m.","Global assessment (1st work programme)",NA,24717,40914
"contingent valuation_apa","contingent valuation","","The contingent valuation method is used to estimate economic values for all kinds of ecosystem and environmental services. It can be used to estimate both use and non-use values.","Asia-Pacific assessment",NA,24718,40915
"control_ias","control","","direct action(s) taken to reduce or suppress the distribution, abundance, spread and impacts of invasive alien species within a defined geographic area (FAO, 1995) (see management).","Invasive alien species assessment",NA,28645,69568
"convention on international trade in endangered species of wild fauna and flora_apa","convention on international trade in endangered species of wild fauna and flora","CITES","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) is an international agreement between governments. Its aim is to ensure that international trade in specimens of wild animals and plants does not threaten their survival.","Asia-Pacific assessment",NA,24719,40916
"conventional agricultural_ppa","conventional agricultural","","Farming methods that rely on high inputs of machinery, fossil fuels and synthetic chemicals, including fertilizers and pesticides. Genetically modified organisms (GMOs) may also be used. Despite the term conventional, such agricultural methods have evolved only since the industrial revolution (19th century) and became widespread after the mid-20th century. It is also referred to sometimes as industrial agriculture”.","Pollination assessment",NA,24720,40917
"conventions_va","conventions","","They refer to practical rules about how to undertake certain actions. They simplify interaction and facilitate coordination. Examples are the language, measurement scales (e.g. money, weight., length) and directions in the sky. Management systems, professional codes and dressing codes are other forms.","Values assessment",NA,24721,40918
"coral bleaching_ga1","coral bleaching","","When water is too warm, corals will expel the algae (zooxanthellae) living in their tissues causing the coral to turn completely white. Corals can survive a bleaching event, but they are under more stress and are subject to mortality.","Global assessment (1st work programme)",NA,24723,40921
"coral triangle_apa","coral triangle","","Geographical term for a roughly triangular area of tropical ocean that includes the coastal waters of Malaysia, Indonesia, Timor-Leste, Philippines, Papua New Guinea and Solomon Islands and is recognised as the global centre of coral reef and marine biodiversity and a global conservation priority.","Asia-Pacific assessment",NA,24724,40922
"correlative model_scm","correlative model","","A model in which available empirical data are used to estimate values for parameters that do not have predefined ecological meaning, and for which processes are implicit rather than explicit.","Scenarios and models assessment",NA,21596,40923
"corridor_ldr_afa_ama_ppa_eca_apa","corridor","","A geographically defined area which allows species to move between landscapes, ecosystems and habitats, natural or modified, and ensures the maintenance of biodiversity and ecological and evolutionary processes.","Land degradation and restoration assessment, Africa assessment, Americas assessment, Pollination assessment, Europe and Central Asia assessment, Asia-Pacific assessment",NA,21597,16284
"corridor_ga1","corridor","","A geographically defined area which allows species to move between landscapes, ecosystems and habitats, natural or modified, and is intended to ensure the maintenance of biodiversity and ecological and evolutionary processes.","Global assessment (1st work programme)",NA,21597,40924
"cosmic model_ga1","cosmic model","","see cosmocentric.","Global assessment (1st work programme)",NA,24725,40925
"cosmologies_ga1","cosmologies","","The ways any society develops worldviews that aim at explaining the content and the dynamics of the universe, its spatial and temporal properties, the types of living beings that inhabits it, the principles and energies that explains its origin and its future.","Global assessment (1st work programme)",NA,24726,40926
"cosmovision_nxs","cosmovision","","The philosophies, perceptions and worldviews held by Indigenous Peoples regarding physical and spiritual connections with the environment, often expressed in a coherent body of myths, rituals, values and artistic expressions. Related to the Western term metaphysics in that it describes perceptions and understandings of the universe (López Austin, 2000).","Nexus assessment",NA,33962,88341
"cost-benefit analysis_ppa","cost-benefit analysis","","A procedure for estimating all costs involved and possible profits (benefits) to be derived from a business or development opportunity or proposal.","Pollination assessment",NA,24727,40927
"cost-benefit analysis_eca_ldr","cost-benefit analysis","","A technique designed to determine the feasibility of a project or plan by quantifying its costs and benefits.","Europe and Central Asia assessment, Land degradation and restoration assessment",NA,24727,40928
"cost-benefit analysis_ias","cost-benefit analysis","","an analytical tool for judging the economic advantages or disadvantages of an investment decision by assessing its costs and benefits in order to assess the welfare change attributable to it. The analytical framework of CBA refers to a list of underlying concepts which is as follows: opportunity cost, long-term perspective, calculation of economic performance indicators expressed in monetary terms, microeconomic approach, incremental approach","Invasive alien species assessment",NA,24727,69569
"cost-effectiveness analysis_ias","cost-effectiveness analysis","","an analytical tool to identify the best activity, process, or intervention that justifies/minimizes resource use to achieve a desired result","Invasive alien species assessment",NA,28646,69570
"country of origin of genetic resources_ga1","country of origin of genetic resources","","Country possessing genetic resources in in-situ conditions (CBD, 1992).","Global assessment (1st work programme)",NA,24728,40929
"country providing genetic resources_ga1","country providing genetic resources","","Country supplying genetic resources collected from in-situ sources, including populations of both wild and domesticated species, or taken from ex-situ sources, which may or may not have originated in that country (CBD, 1992).","Global assessment (1st work programme)",NA,24729,40930
"coupled social-ecological systems_apa","coupled social-ecological systems","CSES","Social-ecological systems are complex, integrated systems in which humans are part of nature.","Asia-Pacific assessment",NA,24730,40931
