"id","prefix","term","definition","reports","downloaded_at"
"2802","B","Backstop technology","Models estimating mitigation often use an arbitrary carbon-free technology (often for power generation) that might become available in the future in unlimited supply over the horizon of the model. This allows modellers to explore the consequences and importance of a generic solution technology without becoming enmeshed in picking the actual technology. This 'backstop' technology might be a nuclear technology, fossil technology with Carbon Dioxide Capture and Storage (CCS), solar energy, or something as yet unimagined. The backstop technology is typically assumed either not to currently exist, or to exist only at higher costs relative to conventional alternatives.","AR5-WG3","2026-02-27"
"1726","B","Balancing power/reserves","Due to instantaneous and short-term fluctuations in electric loads and uncertain availability of power plants there is a constant need for spinning and quick-start generators that balance demand and supply at the imposed quality levels for frequency and voltage.","SRREN","2026-02-27"
"2804","B","Banking (of Assigned Amount Units)","Any transfer of Assigned Amount Units (AAUs) from an existing period into a future commitment period. According to the Kyoto Protocol [Article 3 (13)], Parties included in Annex I to the United Nations Framework Convention on Climate Change (UNFCCC) may save excess AAUs from the first commitment period for compliance with their respective cap in subsequent commitment periods (post-2012).","AR5-WG3","2026-02-27"
"1728","B","Barrier","Any obstacle to developing and deploying a renewable energy (RE) potential that can be overcome or attenuated by a policy, programme or measure. Barriers to RE deployment are unintentional or intentionally constructed impediments made by man (e.g., badly oriented buildings or power grid access criteria that discriminate against independent RE generators). Distinct from barriers are issues like intrinsically natural properties impeding the application of some RE sources at some place or time (e.g., flat land impedes hydropower and night the collection of direct solar energy).","SRREN","2026-02-27"
"1730","B","Barrier removal","includes correcting market failures directly or reducing the transactions costs in the public and private sectors by, for example, improving institutional capacity, reducing risk and uncertainty, facilitating market transactions and enforcing regulatory policies.","SRREN","2026-02-27"
"2318","B","Basal lubrication","Reduction of friction at the base of an ice sheet or glacier due to lubrication by meltwater. This can allow the glacier or ice sheet to slide over its base. Meltwater may be produced by pressure-induced melting, friction or geothermal heat, or surface melt may drain to the base through holes in the ice.","AR5-WG1; AR6","2026-02-27"
"1906","B","Base load","is power continuously demanded over the period.","SRREN","2026-02-27"
"1732","B","Baseline","The reference scenario for measurable quantities from which an alternative outcome can be measured, for example, a non-intervention scenario is used as a reference in the analysis of intervention scenarios. A baseline may be an extrapolation of recent trends, or it may assume frozen technology or costs.","SRREN","2026-02-27"
"5465","B","Baseline period","A time period against which differences are calculated (e.g., expressed as anomalies relative to a baseline).","AR6","2026-02-27"
"51","B","Baseline scenario","In much of the literature the term is also synonymous with the term business-as-usual (BAU) scenario, although the term BAU has fallen out of favour because the idea of business as usual in century-long socio-economic projections is hard to fathom. In the context of transformation pathways, the term baseline scenarios refers to scenarios that are based on the assumption that no mitigation policies or measures will be implemented beyond those that are already in force and/or are legislated or planned to be adopted. Baseline scenarios are not intended to be predictions of the future, but rather counterfactual constructions that can serve to highlight the level of emissions that would occur without further policy effort. Typically, baseline scenarios are then compared to mitigation scenarios that are constructed to meet different goals for greenhouse gas (GHG) emissions, atmospheric concentrations or temperature change. The term baseline scenario is often used interchangeably with reference scenario and no policy scenario.","SRCCL; SR15; AR6","2026-02-27"
"2320","B","Baseline/reference","The state against which change is measured. In the context of transformation pathways, the term 'baseline scenarios' refers to scenarios that are based on the assumption that no mitigation policies or measures will be implemented beyond those that are already in force and/or are legislated or planned to be adopted. Baseline scenarios are not intended to be predictions of the future, but rather counterfactual constructions that can serve to highlight the level of emissions that would occur without further policy effort. Typically, baseline scenarios are then compared to mitigation scenarios that are constructed to meet different goals for greenhouse gas (GHG) emissions, atmospheric concentrations, or temperature change. The term 'baseline scenario' is used interchangeably with 'reference scenario' and 'no policy scenario'. In much of the literature the term is also synonymous with the term 'business-as-usual (BAU) scenario,' although the term 'BAU' has fallen out of favour because the idea of 'business-as-usual' in century-long socioeconomic projections is hard to fathom.","AR5-WG3; AR5-SYR; AR5-WG2; AR5-WG1; SREX; AR6","2026-02-27"
"227","B","Battery electric vehicle (BEV)","A vehicle whose propulsion is entirely electric without any internal combustion engine.","SR15","2026-02-27"
"2322","B","Bayesian method/approach","A Bayesian method is a method by which a statistical analysis of an unknown or uncertain quantity(ies) is carried out in two steps. First, a prior probability distribution for the uncertain quantity(ies) is formulated on the basis of existing knowledge (either by eliciting expert opinion or by using existing data and studies). At this first stage, an element of subjectivity may influence the choice, but in many cases, the prior probability distribution can be chosen as neutrally as possible, in order not to influence the final outcome of the analysis. In the second step, newly acquired data are used to update the prior distribution into a posterior distribution. The update is carried out either through an analytic computation or though numeric approximation, using a theorem formulated by and named after the British mathematician Thomas Bayes (1702-1761).","AR5-WG1","2026-02-27"
"2806","B","Behaviour","In this report, behaviour refers to human decisions and actions (and the perceptions and judgments on which they are based) that directly or indirectly influence mitigation or the effects of potential climate change impacts (adaptation). Human decisions and actions are relevant at different levels, from international, national, and sub-national actors, to NGO, tribe, or firm-level decision makers, to communities, households, and individual citizens and consumers.","AR5-WG3","2026-02-27"
"2808","B","Behavioural change","In this report, behavioural change refers to alteration of human decisions and actions in ways that mitigate climate change and/or reduce negative consequences of climate change impacts.","AR5-WG3; AR6","2026-02-27"
"1734","B","Benchmark","","SRREN","2026-02-27"
"4648","B","Benthic","Occurring at the bottom of a body of water; related to benthos (NOAA, 2018).","AR6","2026-02-27"
"2094","B","Benthos","The community of organisms living on the bottom or in sediments of a body of water (such as an ocean, a river or a lake). The ecological zone at the bottom of a body of water, including the sediment surface and some sub-surface layers, is known as the ‘benthic zone’.","SROCC; AR6","2026-02-27"
"5773","B","Beta diversity","The change in species composition between different areas (spatial turnover) or times (temporal turnover) due to habitat and environmental heterogeneity","AR6","2026-02-27"
"53","B","Biochar","Relatively stable, carbon-rich material produced by heating biomass in an oxygen-limited environment. Biochar is distinguished from charcoal by its application: biochar is used as a soil amendment with the intention to improve soil functions and to reduce greenhouse gas (GHG) emissions from biomass that would otherwise decompose rapidly (IBI, 2018).","SRCCL; SR15; AR5-WG3; AR6","2026-02-27"
"2810","B","Biochemical oxygen demand (BOD)","The amount of dissolved oxygen consumed by micro-organisms (bacteria) in the bio-chemical oxidation of organic and inorganic matter in wastewater.","AR5-WG3; AR6","2026-02-27"
"55","B","Biodiversity","Biodiversity or biological diversity means the variability among living organisms from all sources including, among other things, terrestrial, marine and other aquatic ecosystems and the ecological complexes of which they are part; this includes diversity within species, between species and of ecosystems (UN, 1992).","SRCCL; SROCC; SR15; AR5-WG3; AR5-SYR; AR5-WG2; SRREN; AR6","2026-02-27"
"5547","B","Biodiversity hotspots","Biodiversity hotspots are geographic areas exceptionally rich in species, ecologically distinct, and often contain geographically-rare-endemic species. They are thus priorities for nature conservation action.","AR6","2026-02-27"
"57","B","Bioenergy","Energy derived from any form of biomass or its metabolic by-products.","SRCCL; SR15; AR5-WG3; AR5-WG2; SRREN; AR6","2026-02-27"
"2812","B","Bioenergy and Carbon Dioxide Capture and Storage (BECCS)","The application of Carbon Dioxide Capture and Storage (CCS) technology to bioenergy conversion processes. Depending on the total life cycle emissions, including total marginal consequential effects (from indirect land use change (iLUC) and other processes), BECCS has the potential for net carbon dioxide (CO2) removal from the atmosphere.","AR5-WG3; AR5-SYR","2026-02-27"
"59","B","Bioenergy with carbon dioxide capture and storage (BECCS)","Carbon dioxide capture and storage (CCS) technology applied to a bioenergy facility. Note that depending on the total emissions of the BECCS supply chain, carbon dioxide (CO2) can be removed from the atmosphere.","SRCCL; SR15; AR6","2026-02-27"
"2814","B","Bioethanol","Ethanol produced from biomass (e.g., sugar cane or corn).","AR5-WG3; AR6","2026-02-27"
"61","B","Biofuel","A fuel, generally in liquid form, produced from biomass. Biofuels include bioethanol from sugarcane, sugar beet or maize, and biodiesel from canola or soybeans.","SRCCL; SR15; AR5-WG3; AR5-WG2; SRREN; AR6","2026-02-27"
"5521","B","Biogenic carbon emissions","Carbon released as carbon dioxide or methane from combustion or decomposition of biomass or biobased products.","AR6","2026-02-27"
"4888","B","Biogenic volatile organic compounds (BVOCs)","Organic gas-phase compounds emitted from terrestrial and aquatic ecosystems that are critical in ecology and plant physiology, from abiotic and biotic stress functions to integrated components of metabolism. BVOCs are important in atmospheric chemistry as precursors for ozone (O3) and secondary organic aerosol formation. Other terms used to represent BVOCs are hydrocarbons (HCs), reactive organic gases (ROGs) and non-methane volatile organic compounds (NMVOCs).","AR6","2026-02-27"
"1538","B","Biogeochemical effects","Processes through which land affects climate, excluding biophysical effects. These processes include changes in net emissions of carbon dioxide (CO2) towards the atmosphere, net emissions of aerosols (mineral and organic), ozone deposition on ecosystems, and net emissions of biogenic volatile organic compounds (BVOCs) and their subsequent changes in atmospheric chemistry.","SRCCL","2026-02-27"
"5701","B","Biogeophysical potential","The mitigation potential constrained by biological, geophysical and geochemical limits and thermodynamics, without taking into account technical, social, economic and/or environmental considerations.","AR6","2026-02-27"
"2096","B","Biological (carbon) pump","A series of ocean processes through which inorganic carbon (as carbon dioxide, CO2) is fixed as organic matter by photosynthesis in sunlit surface water and then transported to the ocean interior, and possibly the sediment, resulting in the storage of carbon.","SROCC; AR6","2026-02-27"
"2324","B","Biological pump","The process of transporting carbon from the ocean's surface layers to the deep ocean by the primary production of marine phytoplankton, which converts dissolved inorganic carbon (DIC) and nutrients into organic matter through photosynthesis. This natural cycle is limited primarily by the availability of light and nutrients such as phosphate, nitrate and silicic acid, and micronutrients, such as iron.","AR5-WG1","2026-02-27"
"63","B","Biomass","Organic material excluding the material that is fossilised or embedded in geological formations. Biomass may refer to the mass of organic matter in a specific area (ISO, 2014).","SRCCL; SROCC; SR15; AR5-WG3; AR5-WG2; AR5-WG1; SRREN; AR6","2026-02-27"
"2818","B","Biomass burning","Biomass burning is the burning of living and dead vegetation.","AR5-WG3","2026-02-27"
"1542","B","Biome","‘Global-scale zones, generally defined by the type of plant life that they support in response to average rainfall and temperature patterns. For example, tundra, coral reefs or savannas’ (IPBES, 2019).","SRCCL; AR5-WG2; AR5-WG1","2026-02-27"
"5846","B","Biomes","Global-scale zones, generally defined by the type of plant life that they support in response to average rainfall and temperature patterns. For example, tundra, coral reefs or savannas (IPBES, 2019).","AR6","2026-02-27"
"65","B","Biophilic urbanism","Designing cities with green roofs, green walls and green balconies to bring nature into the densest parts of cities in order to provide green infrastructure and human health benefits.","SR15","2026-02-27"
"1544","B","Biophysical effects","The range of physical processes through which land affects climate. These processes include changes in hydrology (e.g. water vapor fluxes at the land/atmosphere interface), heat exchanges via convective fluxes (latent and sensible), radiation (solar and infra-red, absorbed and emitted), and momentum (e.g. affecting wind speed).","SRCCL","2026-02-27"
"3246","B","Biosphere","The part of the Earth system comprising all ecosystems and living organisms, in the atmosphere, on land (terrestrial biosphere), or in the oceans (marine biosphere), including derived dead organic matter, such as litter, soil organic matter, and oceanic detritus.","AR5-WG2","2026-02-27"
"2326","B","Biosphere (terrestrial and marine)","The part of the earth system comprising all ecosystems and living organisms, in the atmosphere, on land (terrestrial biosphere) or in the oceans (marine biosphere), including derived dead organic matter, such as litter, soil organic matter and oceanic detritus.","AR5-WG3; AR5-WG1; AR6","2026-02-27"
"5707","B","Bipolar seesaw (also inter-hemispheric seesaw, inter-hemispheric asymmetry, hemispheric asymmetry)","A phenomenon in which temperature changes in the Northern and Southern hemispheres are related but out of phase, generally inferred to represent a change in the magnitude or sign of net heat transport across the equator. Originally called hemispheric asymmetry and linked to changes in thermohaline overturning circulation on multi-millennial scales (Mix et al, 1986), later named bipolar seesaw and applied to millennial scales (Broecker, 1998) with a similar thermohaline mechanism (Stocker and Johnsen, 2003).","AR6","2026-02-27"
"1746","B","Black carbon","Operationally defined aerosol species based on measurement of light absorption and chemical reactivity and/or thermal stability; consists of soot, charcoal and/or light-absorbing refractory organic matter.","SRREN","2026-02-27"
"67","B","Black carbon (BC)","A relatively pure form of carbon, also known as soot, arising from the incomplete combustion of fossil fuels, biofuel, and biomass. It stays in the atmosphere only for days or weeks. Black carbon is a climate forcing agent with strong warming effect, both in the atmosphere and when deposited on snow or ice.","SRCCL; SROCC; SR15; AR5-WG3; AR5-WG1; AR6","2026-02-27"
"2328","B","Blocking","Associated with persistent, slow-moving high-pressure systems that obstruct the prevailing westerly winds in the middle and high latitudes and the normal eastward progress of extratropical transient storm systems. It is an important component of the intraseasonal climate variability in the extratropics and can cause long-lived weather conditions such as cold spells in winter and summer heat waves.","AR5-WG1; AR6","2026-02-27"
"69","B","Blue carbon","All biologically-driven carbon fluxes and storage in marine systems that are amenable to management can be considered as blue carbon. Coastal blue carbon focuses on rooted vegetation in the coastal zone, such as tidal marshes, mangroves and seagrasses. These ecosystems have high carbon burial rates on a per unit area basis and accumulate carbon in their soils and sediments. They provide many non-climatic benefits and can contribute to ecosystem-based adaptation. If degraded or lost, coastal blue carbon ecosystems are likely to release most of their carbon back to the atmosphere. There is current debate regarding the application of the blue carbon concept to other coastal and non-coastal processes and ecosystems, including the open ocean.","SRCCL; SROCC; SR15; AR6","2026-02-27"
"5819","B","Blue infrastructure","Blue infrastructure includes bodies of water, watercourses, ponds, lakes and storm drainage, that provide ecological and hydrological functions including evaporation, transpiration, drainage, infiltration and temporary storage of runoff and discharge.","AR6","2026-02-27"
"1930","B","Bottom-up models","aggregate technological, engineering and cost details of specific activities and processes.","SRREN","2026-02-27"
"3248","B","Boundary organization","A bridging institution, social arrangement, or network that acts as an intermediary between science and policy.","AR5-WG2","2026-02-27"
"2330","B","Brewer–Dobson circulation","The meridional overturning circulation of the stratosphere transporting air upward in the tropics, poleward to the winter hemisphere, and downward at polar and subpolar latitudes. The Brewer-Dobson circulation is driven by the interaction between upward propagating planetary waves and the mean flow.","AR5-WG1; AR6","2026-02-27"
"2332","B","Burden","The total mass of a gaseous substance of concern in the atmosphere.","AR5-WG1; AR6","2026-02-27"
"71","B","Burden sharing (also referred to as Effort sharing)","In the context of mitigation, burden sharing refers to sharing the effort of reducing the sources or enhancing the sinks of greenhouse gases (GHGs) from historical or projected levels, usually allocated by some criteria, as well as sharing the cost burden across countries.","SR15; AR5-WG3","2026-02-27"
"3168","B","Burden sharing/effort sharing","In the context of mitigation, burden sharing refers to sharing the effort of reducing the sources or enhancing the sinks of greenhouse gases (GHGs) from historical or projected levels, usually allocated by some criteria, as well as sharing the cost burden across countries.","AR5-SYR","2026-02-27"
"73","B","Business as usual (BAU)","","SRCCL; SR15; AR5-WG2; SRREN; AR6","2026-02-27"
"2820","B","Business-as-usual (BAU)","","AR5-WG3","2026-02-27"
"5204","C","Calcification","The process of biologically precipitating calcium carbonate minerals to create organism shells, skeletons, otoliths, or other body structures. The chemical equation describing calcification is Ca2+(aq) + 2HCO3−(aq) → CaCO3(s) + CO2 + H2O. Aragonite and calcite are two common crystalline forms of biologically precipitated calcium carbonate minerals that have different solubilities.","AR6","2026-02-27"
"2342","C","Calving","The breaking off of discrete pieces of ice from a glacier, ice sheet or an ice shelf into lake or seawater, producing icebergs. This is a form of mass loss from an ice body.","AR5-WG1","2026-02-27"
"2098","C","Calving (of glaciers or ice sheets)","The process of mechanical destruction of a mass of ice usually typical of marine-terminating glaciers; in the latter case, the ice calving (or breaking away) from the glacier edge can lead to the formation of icebergs.","SROCC; AR6","2026-02-27"
"2830","C","Cancún Agreements","A set of decisions adopted at the 16th Session of the Conference of the Parties (COP) to the United Nations Framework Convention on Climate Change (UNFCCC), including the following, among others: the newly established Green Climate Fund (GCF), a newly established technology mechanism, a process for advancing discussions on adaptation, a formal process for reporting mitigation commitments, a goal of limiting global mean surface temperature increase to 2 °C, and an agreement on MRV — Measuring, Reporting and Verifying for those countries that receive international support for their mitigation efforts.","AR5-WG3; AR5-SYR","2026-02-27"
"2832","C","Cancún Pledges","During 2010, many countries submitted their existing plans for controlling greenhouse gas (GHG) emissions to the Climate Change Secretariat and these proposals have now been formally acknowledged under the United Nations Framework Convention on Climate Change (UNFCCC). Developed countries presented their plans in the shape of economy-wide targets to reduce emissions, mainly up to 2020, while developing countries proposed ways to limit their growth of emissions in the shape of plans of action.","AR5-WG3; AR5-SYR","2026-02-27"
"4928","C","Canopy temperature","The temperature within the canopy of a vegetation structure.","AR6","2026-02-27"
"2834","C","Cap, on emissions","Mandated restraint as an upper limit on emissions within a given period. For example, the Kyoto Protocol mandates emissions caps in a scheduled timeframe on the anthropogenic greenhouse gas (GHG) emissions released by Annex B countries.","AR5-WG3","2026-02-27"
"1750","C","Capacity","In general, the facility to produce, perform, deploy or contain.","SRREN; SREX","2026-02-27"
"1758","C","Capacity building","The practice of enhancing the strengths and attributes of, and resources available to, an individual, community, society, or organization to respond to change.","AR5-WG2; SRREN; AR6","2026-02-27"
"1754","C","Capacity credit","is the share of the capacity of a renewable energy unit counted as guaranteed available during particular time periods and accepted as a 'firm' contribution to total system generation capacity.","SRREN","2026-02-27"
"1756","C","Capacity factor","is the ratio of the actual output of a generating unit over a period of time (typically a year) to the theoretical output that would be produced if the unit were operating uninterruptedly at its nameplate capacity during the same period of time. Also known as rated capacity or nominal capacity, nameplate capacity is the facility's intended output level for a sustained period under normal circumstances.","SRREN","2026-02-27"
"75","C","Carbon budget","Refers to three concepts in the literature: (1) an assessment of carbon cycle sources and sinks on a global level, through the synthesis of evidence for fossil-fuel and cement emissions, land-use change emissions, ocean and land CO2 sinks, and the resulting atmospheric carbon dioxide (CO2) growth rate. This is referred to as the global carbon budget; (2) the estimated cumulative amount of global carbon dioxide emissions that that is estimated to limit global surface temperature to a given level above a reference period, taking into account global surface temperature contributions of other greenhouse gases (GHGs) and climate forcers; (3) the distribution of the carbon budget defined under (2) to the regional, national, or sub-national level based on considerations of equity, costs or efficiency.","SRCCL; SROCC; SR15; AR5-WG3; AR6","2026-02-27"
"2836","C","Carbon credit","","AR5-WG3","2026-02-27"
"77","C","Carbon cycle","The flow of carbon (in various forms, e.g., as carbon dioxide (CO2), carbon in biomass, and carbon dissolved in the ocean as carbonate and bicarbonate) through the atmosphere, hydrosphere, terrestrial and marine biosphere and lithosphere. In this report, the reference unit for the global carbon cycle is GtCO2 or GtC (one Gigatonne = 1 Gt = 1015 grams; 1GtC corresponds to 3.667 GtCO2).","SRCCL; SROCC; SR15; AR5-WG3; AR5-SYR; AR5-WG2; AR5-WG1; SRREN; SREX; AR6","2026-02-27"
"79","C","Carbon dioxide (CO2)","A naturally occurring gas, CO2 is also a by-product of burning fossil fuels (such as oil, gas and coal), of burning biomass, of land use changes (LUC) and of industrial processes (e.g., cement production). It is the principal anthropogenic greenhouse gas (GHG) that affects the Earth's radiative balance. It is the reference gas against which other GHGs are measured and therefore has a Global Warming Potential (GWP) of 1.","SRCCL; SROCC; SR15; AR5-WG3; AR5-WG2; AR5-WG1; SRREN; SREX; AR6","2026-02-27"
"5126","C","Carbon dioxide (CO2) fertilisation","The increase of plant photosynthesis and water-use efficiency in response to increased atmospheric carbon dioxide (CO2) concentration. Whether this increased photosynthesis translates into increased plant growth and carbon storage on land depends on the interacting effects of temperature, moisture and nutrient availability.","AR6","2026-02-27"
"2344","C","Carbon dioxide (CO2) fertilization","The enhancement of the growth of plants as a result of increased atmospheric carbon dioxide (CO2) concentration.","AR5-WG2; AR5-WG1","2026-02-27"
"81","C","Carbon dioxide capture and storage (CCS)","A process in which a relatively pure stream of carbon dioxide (CO2) from industrial and energy-related sources is separated (captured), conditioned, compressed and transported to a storage location for long-term isolation from the atmosphere. Sometimes referred to as Carbon Capture and Storage.","SRCCL; SR15; AR5-WG3; AR5-SYR; SRREN; AR6","2026-02-27"
"83","C","Carbon dioxide capture and utilisation (CCU)","A process in which carbon dioxide (CO2) is captured and then used to produce a new product. If the CO2 is stored in a product for a climate-relevant time horizon, this is referred to as carbon dioxide capture, utilisation and storage (CCUS). Only then, and only combined with CO2 recently removed from the atmosphere, can CCUS lead to carbon dioxide removal. CCU is sometimes referred to as Carbon dioxide capture and use.","SRCCL; SR15; AR6","2026-02-27"
"85","C","Carbon dioxide capture, utilisation and storage (CCUS)","","SRCCL; SR15","2026-02-27"
"2838","C","Carbon dioxide fertilization","The enhancement of the growth of plants as a result of increased atmospheric carbon dioxide (CO2) concentration.","AR5-WG3","2026-02-27"
"87","C","Carbon dioxide removal (CDR)","Anthropogenic activities removing CO2 from the atmosphere and durably storing it in geological, terrestrial, or ocean reservoirs, or in products. It includes existing and potential anthropogenic enhancement of biological or geochemical sinks and direct air capture and storage, but excludes natural CO2uptake not directly caused by human activities.","SRCCL; SROCC; SR15; AR5-WG3; AR5-SYR; AR5-WG1; AR6","2026-02-27"
"4854","C","Carbon feedback","A climate feedback involves changes in the properties of the land and ocean carbon cycle in response to climate change. In the ocean, changes in oceanic temperature and circulation could affect the atmosphere–ocean carbon dioxide (CO2) flux; on the continents, climate change could affect plant photosynthesis and soil microbial respiration and hence the flux of CO2 between the atmosphere and the land biosphere.","AR6","2026-02-27"
"2840","C","Carbon footprint","Measure of the exclusive total amount of emissions of carbon dioxide (CO2) that is directly and indirectly caused by an activity or is accumulated over the life stages of a product (Wiedmann and Minx, 2008).","AR5-WG3; AR6","2026-02-27"
"89","C","Carbon intensity","The amount of emissions of carbon dioxide (CO2) released per unit of another variable such as gross domestic product (GDP), output energy use or transport.","SRCCL; SR15; AR5-WG3; AR5-SYR; AR6","2026-02-27"
"2842","C","Carbon leakage","","AR5-WG3","2026-02-27"
"1914","C","Carbon lock-in","means that the established technologies and practices are carbon intensive.","SRREN","2026-02-27"
"91","C","Carbon neutrality","","SR15; AR6","2026-02-27"
"2844","C","Carbon pool","","AR5-WG3","2026-02-27"
"93","C","Carbon price","The price for avoided or released carbon dioxide (CO2) or CO2-equivalent emissions. This may refer to the rate of a carbon tax, or the price of emission permits. In many models that are used to assess the economic costs of mitigation, carbon prices are used as a proxy to represent the level of effort in mitigation policies.","SRCCL; SROCC; SR15; AR5-WG3; AR5-SYR; AR6","2026-02-27"
"95","C","Carbon sequestration","The process of storing carbon in a carbon pool.","SRCCL; SROCC; SR15; AR5-WG3; AR5-WG2; AR6","2026-02-27"
"97","C","Carbon sink","","SRCCL; SROCC; SR15; AR6","2026-02-27"
"1546","C","Carbon stock","The quantity of carbon in a carbon pool.","SRCCL; AR6","2026-02-27"
"2846","C","Carbon tax","A levy on the carbon content of fossil fuels. Because virtually all of the carbon in fossil fuels is ultimately emitted as carbon dioxide (CO2), a carbon tax is equivalent to an emission tax on CO2 emissions.","AR5-WG3; AR5-SYR","2026-02-27"
"2346","C","Carbonaceous aerosol","Aerosol consisting predominantly of organic substances and black carbon.","AR5-WG1; AR6","2026-02-27"
"2100","C","Carbonate pump","Ocean carbon fixation through the biological formation of carbonates, primarily by plankton that generate bio-mineral particles that sink to the ocean interior, and possibly the sediment. It is also called carbonate counter-pump, since the formation of calcium carbonate (CaCO3) is accompanied by the release of carbon dioxide (CO2) to surrounding water and subsequently to the atmosphere.","SROCC; AR6","2026-02-27"
"4856","C","Carbon–climate feedback","A climate feedback involves changes in the properties of the land and ocean carbon cycle in response to climate change. In the ocean, changes in oceanic temperature and circulation could affect the atmosphere–ocean carbon dioxide (CO2) flux; on the continents, climate change could affect plant photosynthesis and soil microbial respiration and hence the flux of CO2 between the atmosphere and the land biosphere.","AR6","2026-02-27"
"2102","C","Cascading impacts","from extreme weather/climate events occur when an extreme hazard generates a sequence of secondary events in natural and human systems that result in physical, natural, social or economic disruption, whereby the resulting impact is significantly larger than the initial impact. Cascading impacts are complex and multi-dimensional, and are associated more with the magnitude of vulnerability than with that of the hazard (modified from Pescaroli & Alexander, 2015).","SROCC; AR6","2026-02-27"
"4542","C","Catchment","An area that collects and drains precipitation.","SREX; AR6","2026-02-27"
"2822","C","CCS-ready","New large-scale, stationary carbon dioxide (CO2) point sources intended to be retrofitted with Carbon Dioxide Capture and Storage (CCS) could be designed and located to be 'CCS-ready' by reserving space for the capture installation, designing the unit for optimal performance when capture is added, and siting the plant to enable access to storage locations.","AR5-WG3","2026-02-27"
"1760","C","Cellulose","The principal chemical constituent of the cell walls of plants and the source of fibrous materials for the manufacturing of various goods like paper, rayon, cellophane, etc. It is the main input for manufacturing second-generation biofuels.","SRREN","2026-02-27"
"4946","C","Cenozoic Era","The third and current geological Era, which began 66.0 Ma. It comprises the Paleogene, Neogene and Quaternary Periods.","AR6","2026-02-27"
"5364","C","Central Pacific El Niño","An El Niño event in which sea surface temperature anomalies are stronger in the central equatorial Pacific than in the east. Also known as a Modoki El Niño event.","AR6","2026-02-27"
"2848","C","Certified Emission Reduction Unit (CER)","Equal to one metric tonne of CO2-equivalent emissions reduced or of carbon dioxide (CO2) removed from the atmosphere through the Clean Development Mechanism (CDM) (defined in Article 12 of the Kyoto Protocol) project, calculated using Global Warming Potentials (GWP).","AR5-WG3","2026-02-27"
"2334","C","CFC","","AR5-WG1","2026-02-27"
"2348","C","Chaotic","A dynamical system such as the climate system, governed by nonlinear deterministic equations (see Nonlinearity), may exhibit erratic or chaotic behaviour in the sense that very small changes in the initial state of the system in time lead to large and apparently unpredictable changes in its temporal evolution. Such chaotic behaviour limits the predictability of the state of a nonlinear dynamical system at specific future times, although changes in its statistics may still be predictable given changes in the system parameters or boundary conditions.","AR5-WG1; AR6","2026-02-27"
"2350","C","Charcoal","Material resulting from charring of biomass, usually retaining some of the microscopic texture typical of plant tissues; chemically it consists mainly of carbon with a disturbed graphitic structure, with lesser amounts of oxygen and hydrogen.","AR5-WG1; AR6","2026-02-27"
"2850","C","Chemical oxygen demand (COD)","The quantity of oxygen required for the complete oxidation of organic chemical compounds in water; used as a measure of the level of organic pollutants in natural and waste waters.","AR5-WG3","2026-02-27"
"2824","C","Chlorofluorocarbons (CFCs)","A chlorofluorocarbon is an organic compound that contains chlorine, carbon, hydrogen, and fluorine and is used for refrigeration, air conditioning, packaging, plastic foam, insulation, solvents, or aerosol propellants. Because they are not destroyed in the lower atmosphere, CFCs drift into the upper atmosphere where, given suitable conditions, they break down ozone (O3). It is one of the greenhouse gases (GHGs) covered under the 1987 Montreal Protocol as a result of which manufacturing of these gases has been phased out and they are being replaced by other compounds, including hydrofluorocarbons (HFCs) which are GHGs covered under the Kyoto Protocol.","AR5-WG3; AR6","2026-02-27"
"5867","C","Choice architecture","The presentation of choices to consumers, and the impact that presentation has on consumer decision-making.","AR6","2026-02-27"
"2352","C","Chronology","Arrangement of events according to dates or times of occurrence.","AR5-WG1; AR6","2026-02-27"
"4976","C","Circular economy","A system with minimal input and operational losses of materials and energy through extensive reduce, reuse, recycling, and recovery activities. Ten strategies for circularity include: Refuse, Rethink, Reduce, Reuse, Repair, Refurbish, Remanufacture, Repurpose, Recycle, Recover.","AR6","2026-02-27"
"4806","C","Cirrus cloud thinning (CCT)","One of several radiation modification approaches to counter the warming caused by greenhouse gases (GHGs). In this approach, it is proposed to reduce the amount of cirrus clouds by injecting ice nucleating substances in the upper troposphere. The reduction in cirrus clouds is expected to increase the amount of longwave cooling to space resulting in a planetary cooling. Although cirrus cloud thinning primarily affects the longwave radiation budget of our planet, it is often identified as one of the solar radiation modification (SRM) approaches in the literature.","AR6","2026-02-27"
"5815","C","Cities","Cities are open systems, continually exchanging resources, products and services, waste, people, ideas and finances with the hinterlands and broader world. Cities are complex, self-organising, adaptive and constantly evolving. Cities also encompass multiple actors with varying responsibilities, capabilities and priorities, as well as processes that transcend the institutional sector-based approach to city administration. Cities are embedded in broader ecological, economic, technical, institutional, legal and governance structures that enable or often constrain their systemic function, which cannot be separated from wider power relations. Urban processes of a physical, social and economic nature are causally interlinked, with interactions and feedbacks that result in both intended and unintended impacts on emissions.","AR6","2026-02-27"
"1548","C","Citizen science","A voluntary participation of the public in the collection and/or processing of data as part of a scientific study (Silvertown, 2009).","SRCCL; AR6","2026-02-27"
"5811","C","City region","The areal extent of an individual city's material associations and economic or political influence. The city region concept accepts that rural livelihoods and land uses can be incorporated within the functional activities of a city. This will include dormitory settlements, sources for critical inputs of water, some food, and waste disposal.","AR6","2026-02-27"
